Language	Concept	IPA	ASJP	SCA
mud	onion	ɡond̪iɾi	gondiri	KUNTIRI
rui	this	id̪u	idu	ITY
grp	this	idu	idu	ITY
ght	this	hid	hid	HIT
glb	this	hidu	hidu	HITY
ktg	this	idɛn	idEn	ITEN
dog	this	idu	idu	ITY
mdh	this	idu	idu	ITY
mku	this	id	id	IT
gni	this	id̪u	idu	ITY
lxg	this	ɪd̪ːu	idu	ITY
get	this	idu	idu	ITY
gut	this	ɪdɛʔ	idE7	ITEH
gja	this	ɪdu	idu	ITY
gbh	this	ind̪i	indi	INTI
mal	this	idu	idu	ITY
mbh	this	id̪u	idu	ITY
mad	this	ɪd̪u	idu	ITY
gtd	this	kadum	kadum	KATYM
